id,title,genres,description,year
1,3 Idiots,comedy|drama,Two friends search for their long-lost college buddy while remembering their days at engineering college.,2009
2,Dangal,biography|sports,Former wrestler trains his daughters to become world-class wrestlers.,2016
3,Sholay,action|adventure|drama,Two ex-convicts are hired by a retired policeman to capture a ruthless bandit.,1975
4,Lagaan,drama|sports,Villagers challenge British officers to a cricket match to avoid taxes.,2001
5,Queen,drama|comedy,A young woman goes on her honeymoon alone and rediscovers herself.,2014
6,Kabhi Khushi Kabhie Gham,drama|family,An affluent family faces tensions when a son marries against his father's wishes.,2001
7,Barfi!,romance|comedy,A charming mute man falls for two women in this heartwarming story.,2012
8,Gangs of Wasseypur,crime|drama,An epic tale of power struggles and vengeance in coal mafia of India.,2012
9,Don,action|thriller,A ruthless underworld kingpin's role is taken by an impostor in a high-stakes game.,2006
10,Kaho Naa... Pyaar Hai,romance|musical,Young lovers face obstacles when fate separates them and mystery unfolds.,2000
11,Zindagi Na Milegi Dobara,drama|adventure,Three friends embark on a road trip that changes their lives.,2011
12,Dilwale Dulhania Le Jayenge,romance|drama,Two lovers must overcome family opposition to be together.,1995
13,Baahubali: The Beginning,action|fantasy,An epic story of a man with mysterious origins who grows to be a mighty warrior.,2015
14,Mughal-e-Azam,drama|historical,A prince's love for a court dancer leads to conflict with his father, the emperor.,1960
15,Taare Zameen Par,drama|family,An art teacher helps a dyslexic child find confidence and creativity.,2007
16,Hum Aapke Hain Koun..!,romance|family,Celebration of family relationships and love,1994
17,Kuch Kuch Hota Hai,romance|drama,College romance and reunion story,1998
18,Munnabhai M.B.B.S.,comedy|drama,A lovable goon pretends to be a doctor to make his mother proud,2003
19,Piku,drama|comedy,A daughter cares for her elderly father on a road trip,2015
20,Badhaai Ho,comedy|drama,A middle-aged couple's unexpected pregnancy shakes their family,2018
21,Padmaavat,drama|historical,An epic tale of love and honor in medieval India,2018
22,Bajrangi Bhaijaan,drama|adventure,A man helps a mute girl return to her home across the border,2015
23,PK,comedy|drama,An alien questions human beliefs and rituals,2014
24,My Name Is Khan,drama|romance,A man with Asperger's travels to meet the US President,2010
